d,T_train,rel. error
1,10,1.0847552830684475
1,20,2.7557668107445155
11,20,0.5240409266637372
1,30,1.2189938192488654
11,30,0.4724499501272019
21,30,0.4313268175805522
1,40,0.9038764900141709
11,40,0.42299673380379305
21,40,0.4268024399564514
31,40,0.45814701855137885
1,50,2.7904621765073165
11,50,0.3990759307412984
21,50,0.41542640583665574
31,50,0.44658723630789454
41,50,0.4524437548298073
1,60,8.054142616463675
11,60,0.36357386222811494
21,60,0.38894473274438285
31,60,0.412421047636534
41,60,0.41662956474164115
51,60,0.4409023468211385
1,70,9.210023235927896
11,70,0.28761447387531786
21,70,0.36457106940032524
31,70,0.42856444587697007
41,70,0.5651400572521064
51,70,0.6482350705799313
61,70,0.7027414055110872
1,80,4.466565773098296
11,80,0.16428523788093777
21,80,0.19629800581217827
31,80,0.24178441096906558
41,80,0.2934314655166418
51,80,0.33178234482827795
61,80,0.3680485946262005
71,80,0.5147642695150774
1,90,5.9535763117292575
11,90,0.16853291197596174
21,90,0.17293619050969122
31,90,0.20824999322826604
41,90,0.2658653646247406
51,90,0.29500380773281415
61,90,0.3400453103653121
71,90,0.46785353507445987
81,90,0.4666704004524885
1,100,10.43765685261443
11,100,0.17156693372310453
21,100,0.17380644895916494
31,100,0.1964537781806823
41,100,0.24147703812946741
51,100,0.2771193115723286
61,100,0.30320375132015365
71,100,0.41663126501066633
81,100,0.44735462119276975
91,100,0.44333776357375415
1,110,30.762857936670674
11,110,0.17584077278162238
21,110,0.17399003972604513
31,110,0.19310522219213078
41,110,0.2359550098235986
51,110,0.2608781595124103
61,110,0.28896679224408217
71,110,0.3767398277762102
81,110,0.416138294276684
91,110,0.4162543605508947
101,110,0.4715027018286128
1,120,8.049534850338693
11,120,0.17932868983760072
21,120,0.17342316615749623
31,120,0.19285034289027897
41,120,0.23726833326270033
51,120,0.25636522190394945
61,120,0.28422484468817394
71,120,0.34659668815225125
81,120,0.3929566032503761
91,120,0.4098818413729817
101,120,0.4523026043972085
111,120,0.44101664245028643
1,130,8.981851591424
11,130,0.1812389684411982
21,130,0.17402566056882893
31,130,0.19350726143000463
41,130,0.23772321888075615
51,130,0.25528801300377196
61,130,0.2781520438009291
71,130,0.3260387138697872
81,130,0.35327453276262466
91,130,0.3676312381162818
101,130,0.3792498194892074
111,130,0.3821742949701986
121,130,0.39861136450047197
1,140,10.51351349809329
11,140,0.17889267793327882
21,140,0.1705680691038434
31,140,0.18304992166786732
41,140,0.20388086816150733
51,140,0.22078751662860327
61,140,0.24836294636589576
71,140,0.3206723034949923
81,140,0.30870490096276104
91,140,0.33169014268994923
101,140,0.3788841581983527
111,140,0.42181095693091736
121,140,0.4588879989728407
131,140,0.5073873743720452
1,150,5.354973870816847
11,150,0.19699874565692285
21,150,0.17616269801437834
31,150,0.1828752902441871
41,150,0.20137892137195668
51,150,0.21339347288852878
61,150,0.22677057795174316
71,150,0.33354675709030895
81,150,0.2955329297344326
91,150,0.3040887855431571
101,150,0.3254209371092514
111,150,0.34280497092841117
121,150,0.3731379932991267
131,150,0.46522927586684226
141,150,0.5672397406347542
1,160,6.819796023108473
11,160,0.20813649799134312
21,160,0.17589083507978054
31,160,0.1818546500574147
41,160,0.20012195356817322
51,160,0.20910127585717664
61,160,0.22187554726480446
71,160,0.3116476980126092
81,160,0.2810372351034858
91,160,0.28713041865597827
101,160,0.3024694076404502
111,160,0.31135530936850186
121,160,0.3227333741033971
131,160,0.39184513631065393
141,160,0.5366588463240707
151,160,0.4686218984179344
1,170,20.52153505824972
11,170,0.25926272482680646
21,170,0.19732406423408066
31,170,0.18437107617010964
41,170,0.19902251302390164
51,170,0.20794179640019683
61,170,0.2201045784117437
71,170,0.2902776136398527
81,170,0.27317743461857175
91,170,0.27963365712485566
101,170,0.2981319874978896
111,170,0.30290331950033544
121,170,0.31122872230008564
131,170,0.38049977277165137
141,170,0.4922347735624734
151,170,0.4472732167046414
161,170,0.4981075825558376
1,180,7.915232285241774
11,180,0.2838665851177686
21,180,0.2461779536417329
31,180,0.24124130837779528
41,180,0.23313779276726093
51,180,0.21534248327733918
61,180,0.22360092832596892
71,180,0.29860207688305745
81,180,0.2824979449037612
91,180,0.28522284880597937
101,180,0.3037350795118375
111,180,0.30012211668404215
121,180,0.30493465554789906
131,180,0.3527498185978722
141,180,0.43597326475347475
151,180,0.4088885948844945
161,180,0.4404817553497956
171,180,0.43509650570359604
1,190,4.273658662124272
11,190,0.36598686704827976
21,190,0.28795018934730204
31,190,0.2787387218985692
41,190,0.27002981181577057
51,190,0.2373083519006501
61,190,0.22926108198315848
71,190,0.30038938945647553
81,190,0.28470710747018635
91,190,0.28704560302942905
101,190,0.3013363381419844
111,190,0.29644658421579684
121,190,0.30274128830766034
131,190,0.3344591034817503
141,190,0.4076939569385727
151,190,0.3846732113928824
161,190,0.4133536198064176
171,190,0.41179641491261265
181,190,0.4133823985300813
1,200,3.9721312514076867
11,200,0.3746788498517557
21,200,0.32300882766138717
31,200,0.30695224789570436
41,200,0.2824161852860755
51,200,0.23944184367761354
61,200,0.22980328607658113
71,200,0.3002513314320047
81,200,0.2841916511668307
91,200,0.28597931133540627
101,200,0.2949115125028009
111,200,0.28822896516412494
121,200,0.29346381985995157
131,200,0.3223442012383795
141,200,0.3214147763951927
151,200,0.33934253162900657
161,200,0.38612352633137303
171,200,0.46603841446788646
181,200,0.4762318248633434
191,200,0.5012841797531076
1,210,3.5259206049986878
11,210,0.40566644709828786
21,210,0.33760452470351154
31,210,0.31270944882002855
41,210,0.28644226766790254
51,210,0.24638280983289346
61,210,0.22997391040268678
71,210,0.3013854467204456
81,210,0.28536059058483937
91,210,0.2874009396072657
101,210,0.29561364874234003
111,210,0.2907730109218826
121,210,0.29345836845392065
131,210,0.31578396656348906
141,210,0.30871500783004774
151,210,0.31384984072065536
161,210,0.32701162681586293
171,210,0.3517176955681918
181,210,0.36998256849001016
191,210,0.38904678572554513
201,210,0.6698089626874315
1,220,4.197314739356324
11,220,0.45934526674444104
21,220,0.3585417814138687
31,220,0.31991167368489637
41,220,0.2923361752962397
51,220,0.2523070117627178
61,220,0.2411296829733547
71,220,0.3103485383745931
81,220,0.29455427012090074
91,220,0.28814020738624413
101,220,0.3025559690031353
111,220,0.30077480120782674
121,220,0.31209087802458085
131,220,0.32804550700388835
141,220,0.3136991307693637
151,220,0.30707050145565806
161,220,0.31127974470767433
171,220,0.32441234490610943
181,220,0.34335767434183523
191,220,0.3558076249355665
201,220,0.5863610374289286
211,220,0.45366851277167797
1,230,4.080660886000724
11,230,0.507356054771377
21,230,0.36337252645010243
31,230,0.32274408333655086
41,230,0.29323011505369406
51,230,0.2536982338397745
61,230,0.24212861012074033
71,230,0.3127601104760729
81,230,0.2947191424341832
91,230,0.2895838003269329
101,230,0.30622444469727755
111,230,0.3006646159223993
121,230,0.30930871078053784
131,230,0.322315764306972
141,230,0.3058581808852786
151,230,0.3012415993217997
161,230,0.3064854616278562
171,230,0.3150589654243711
